geneName,log2FoldChange
katA,-6.245737751
mrgA,-5.667123363
yhbE,-5.414212547
ahpF,-4.954957459
ahpC,-4.85204124
sacP,-4.66656932
yhbF,-4.543054562
sacA,-4.459587472
yhbD,-4.166867795
mntH,-3.866267428
zosA,-3.783549569
gutB,-3.501561561
natA,-3.494204532
mntD,-3.464114276
natB,-3.451604189
mntC,-3.101028717
mntB,-3.093425106
yheH,-3.051862358
mntA,-2.988727431
iolT,-2.984553469
sufD,-2.897676452
sufS,-2.894588656
iolG,-2.86977675
yrhG,-2.853849787
sufU,-2.819853677
guaB,-2.816978023
efeM,-2.810773762
iolF,-2.810017064
sufB,-2.797138308
yheI,-2.787957432
yhcZ,-2.740359393
hemB,-2.736604572
iolH,-2.710647336
yhcY,-2.707821129
dnaH,-2.701651056
yhdA,-2.682965865
sacB,-2.680054477
ywtG,-2.672339541
sufC,-2.656922754
hemL,-2.63058704
iolB,-2.603784541
uup,-2.573341892
BS3610_RS15195,-2.568299499
mmsA,-2.541276457
efeN,-2.481511335
gutP,-2.468857971
iolI,-2.4559833
yxbG,-2.435054804
iolC,-2.430559026
perR,-2.427228169
efeU,-2.426603202
iolD,-2.417864728
yxzC,-2.409381577
hemD,-2.399669011
csbC,-2.39947847
bglH,-2.392326089
msmR,-2.373028916
ilvK,-2.350048757
iolE,-2.342095387
hemA,-2.312296192
yaaT,-2.303017612
ywjA,-2.296969651
ydaD,-2.277481987
amtB,-2.259913307
hemX,-2.255178328
rnjB,-2.247030673
hemC,-2.213601104
ydaE,-2.191102766
ybeC,-2.188846845
moaE,-2.172979399
yxiH,-2.168388565
rbsB,-2.163297904
ywjB,-2.152865626
pgdS,-2.149734968
wapA,-2.133166333
queE,-2.129589715
metC,-2.108027382
yxiJ,-2.103198984
yetL,-2.101612768
mobB,-2.083961827
moeA,-2.083436337
pdxK,-2.077645079
yqjM,-2.054323592
yopZ,-2.045673804
citM,-2.034579299
yxiI,-2.020473534
yvjA,-2.019496591
ycdF,-2.018781358
yxaB,-2.018218515
dtd,-2.011195277
ycdG,-2.008370903
yjgD,-1.995981362
yfkE,-1.989284968
flgE,-1.988049939
yrhE,-1.985838826
rsh,-1.980038031
mtnE,-1.953872899
uvrA,-1.949179281
dctR,-1.942136836
yxzG,-1.940874453
queD,-1.938742707
yjgC,-1.931422008
yuxK,-1.929854534
yhdK,-1.911274069
fhuD,-1.911063701
garD,-1.903146908
fliI,-1.883678229
adeC,-1.869122282
epr,-1.864226949
nrdE,-1.862888668
sdhB,-1.85695514
yxjH,-1.855464567
ywdA,-1.846014587
ycbP,-1.841404245
yrkH,-1.838238652
BS3610_RS04250,-1.837297931
bglP,-1.833386389
melA,-1.829701287
yneB,-1.826000448
sdhA,-1.812524416
ydfN,-1.799074025
yqjU,-1.798092946
xsa,-1.797619769
queC,-1.797066234
metI,-1.788531001
BS3610_RS23345,-1.781732853
ywlF,-1.781270857
yvbG,-1.776512494
bceS,-1.764533169
tsaD,-1.758138589
mcpB,-1.756960161
ilvD,-1.752417971
yunD,-1.75202621
moaA,-1.747987319
flgK,-1.744818286
menA,-1.737594589
yfjR,-1.734616105
yvzB,-1.73276079
yxiK,-1.7316874
moaD,-1.729290986
dltE,-1.72910481
pucF,-1.727756495
cheD,-1.72342313
pupG,-1.723274076
ywlG,-1.722753372
yfjF,-1.708744442
yfmJ,-1.707761457
ygxB,-1.706172205
dctS,-1.700893034
glxK,-1.700811768
queF,-1.698826124
xkdS,-1.697294957
lmrB,-1.696177704
pycA,-1.69391239
yrhD,-1.688900648
ytsP,-1.688761703
cypC,-1.686816732
yxiF,-1.683691051
fliY,-1.682357062
yxdK,-1.680750979
flhP,-1.677298336
yybA,-1.674217393
dctP,-1.672081185
recA,-1.671326697
iolJ,-1.666064568
fliK,-1.663230324
yqiK,-1.657978039
cstA,-1.653013464
yjjA,-1.648054961
yxnA,-1.642835838
yjbO,-1.638726463
cheC,-1.635045545
ftsW,-1.631024753
motA,-1.62501661
flhA,-1.621288971
sigD,-1.620299311
yerO,-1.619844549
mtnB,-1.619529173
yrkF,-1.61204101
araQ,-1.610564128
yufM,-1.608921731
yurJ,-1.607702397
purU,-1.601811339
tagA,-1.601184534
ycbG,-1.600234733
ywrB,-1.599332233
fliM,-1.598927032
crh,-1.598123864
ydaP,-1.597919266
rbsC,-1.586667985
yhxA,-1.583438014
yxiG,-1.578092064
mtnX,-1.576545105
fhuG,-1.571745306
mdxK,-1.569105738
ydaN,-1.567837915
ybfB,-1.567787292
proS,-1.563883068
bacH,-1.563236461
glcK,-1.562838597
yrzS,-1.562046823
ycgB,-1.559837635
ypgR,-1.557763414
nrdF,-1.557681481
psd,-1.556664337
yhxD,-1.55637489
yvgM,-1.554885515
flgD,-1.55313206
tsaC,-1.549874512
BS3610_RS23340,-1.549589789
ykzM,-1.548618825
ydfO,-1.545265268
