tss_id,chromosome,coordinate,strand,sigma_factor,resolution,data_source,pubmed_references
BSGatlas-TSS-2,basu168,157,+,A,0,DBTBS,"2846289,2987848,17962296"
BSGatlas-TSS-3,basu168,297,-,K,22,Nicolas et al.,
BSGatlas-TSS-4,basu168,1066,-,E,22,Nicolas et al.,
BSGatlas-TSS-5,basu168,3180,+,A,0,DBTBS,"2987848,17962296"
BSGatlas-TSS-6,basu168,3650,+,A,0,DBTBS,2987848
BSGatlas-TSS-7,basu168,6414,-,E,22,Nicolas et al.,
BSGatlas-TSS-8,basu168,6916,+,A,0,DBTBS,"2987848,17962296"
BSGatlas-TSS-9,basu168,9374,+,A,22,Nicolas et al.,
BSGatlas-TSS-10,basu168,9540,+,A,0,DBTBS,"6312418,17962296"
BSGatlas-TSS-11,basu168,9637,+,A,0,DBTBS,"6312418,17962296"
BSGatlas-TSS-12,basu168,15870,+,A,22,Nicolas et al.,
BSGatlas-TSS-13,basu168,15875,-,F,22,Nicolas et al.,
BSGatlas-TSS-14,basu168,15985,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-15,basu168,17453,+,A,22,Nicolas et al.,
BSGatlas-TSS-16,basu168,17833,-,B,22,Nicolas et al.,
BSGatlas-TSS-17,basu168,18976,+,A,22,Nicolas et al.,
BSGatlas-TSS-18,basu168,19923,-,E,22,Nicolas et al.,
BSGatlas-TSS-19,basu168,22268,+,A,22,Nicolas et al.,
BSGatlas-TSS-20,basu168,22531,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-21,basu168,23828,-,A,22,Nicolas et al.,
BSGatlas-TSS-22,basu168,25184,-,E,0,DBTBS,"10419957,11717295,17962296"
BSGatlas-TSS-23,basu168,25657,+,A,22,Nicolas et al.,
BSGatlas-TSS-24,basu168,25810,-,B,22,Nicolas et al.,
BSGatlas-TSS-25,basu168,26379,+,A,0,DBTBS,2468993
BSGatlas-TSS-26,basu168,26779,+,A,22,Nicolas et al.,
BSGatlas-TSS-27,basu168,28383,+,A,22,Nicolas et al.,
BSGatlas-TSS-28,basu168,29744,+,E,0,DBTBS,"1577688,1315731,17962296"
BSGatlas-TSS-29,basu168,30085,+,A,0,DBTBS,"6312418,17962296"
BSGatlas-TSS-30,basu168,30168,+,A,0,DBTBS,"6312418,17962296"
BSGatlas-TSS-31,basu168,35460,+,K,22,Nicolas et al.,
BSGatlas-TSS-32,basu168,35797,+,W,22,Nicolas et al.,
BSGatlas-TSS-33,basu168,39112,+,B,22,Nicolas et al.,
BSGatlas-TSS-34,basu168,39823,+,A,22,Nicolas et al.,
BSGatlas-TSS-35,basu168,45207,-,A,0,DBTBS,"3145384,17962296"
BSGatlas-TSS-36,basu168,45221,-,A,0,DBTBS,"3145384,17962296"
BSGatlas-TSS-37,basu168,45399,-,A,22,Nicolas et al.,
BSGatlas-TSS-38,basu168,45524,+,A,22,Nicolas et al.,
BSGatlas-TSS-39,basu168,46389,-,A,22,Nicolas et al.,
BSGatlas-TSS-40,basu168,48556,+,E,22,Nicolas et al.,
BSGatlas-TSS-41,basu168,48616,+,A,22,Nicolas et al.,
BSGatlas-TSS-42,basu168,48667,+,A,22,Nicolas et al.,
BSGatlas-TSS-43,basu168,49987,+,A,22,Nicolas et al.,
BSGatlas-TSS-44,basu168,50027,-,W,22,Nicolas et al.,
BSGatlas-TSS-45,basu168,50097,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-46,basu168,51571,+,K,0,DBTBS,"10714992,17962296"
BSGatlas-TSS-48,basu168,52721,+,A,22,Nicolas et al.,
BSGatlas-TSS-49,basu168,52747,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-50,basu168,52748,+,A,0,DBTBS,"1310745,6820069,6181373,12761295"
BSGatlas-TSS-51,basu168,53122,+,F,0,DBTBS,"6205155,17962296"
BSGatlas-TSS-52,basu168,53469,+,A,22,Nicolas et al.,
BSGatlas-TSS-53,basu168,55718,-,E,22,Nicolas et al.,
BSGatlas-TSS-54,basu168,55830,+,H,0,BsubCyc,"11254139,2500529,3101583,3099284,6414720,6405278,6411929,6269757,116131,408013,17962296"
BSGatlas-TSS-55,basu168,55831,+,H,0,DBTBS,"408013,116131,6784117,6781761,6269757,6411929,6405278,6414720,3099284,3101583,3277943,2500529,11254139"
BSGatlas-TSS-56,basu168,56324,+,A,0,DBTBS,"6181373,1310745,17962296"
BSGatlas-TSS-57,basu168,58748,+,B,0,DBTBS,"6790515,6273816,6202876,3100810,8253681,8012595,10482513"
BSGatlas-TSS-58,basu168,59689,+,Unknown,22,Nicolas et al.,
BSGatlas-TSS-59,basu168,64016,+,F,0,DBTBS,"8755877,17962296"
BSGatlas-TSS-60,basu168,64746,+,A,22,Nicolas et al.,
BSGatlas-TSS-61,basu168,66322,+,A,22,Nicolas et al.,
BSGatlas-TSS-62,basu168,67081,+,D,22,Nicolas et al.,
BSGatlas-TSS-63,basu168,67509,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-64,basu168,68178,+,E,0,DBTBS,11283287
BSGatlas-TSS-65,basu168,69054,+,W,0,DBTBS,"9683469,12207695,9636707"
BSGatlas-TSS-66,basu168,69105,+,H,22,Nicolas et al.,
BSGatlas-TSS-67,basu168,70156,+,A,22,Nicolas et al.,
BSGatlas-TSS-68,basu168,70509,+,A,0,DBTBS,"1556084,2832371,17962296"
BSGatlas-TSS-69,basu168,71798,-,E,22,Nicolas et al.,
BSGatlas-TSS-70,basu168,72031,+,B,22,Nicolas et al.,
BSGatlas-TSS-71,basu168,73065,+,E,22,Nicolas et al.,
BSGatlas-TSS-72,basu168,74385,+,B,22,Nicolas et al.,
BSGatlas-TSS-73,basu168,74886,+,A,22,Nicolas et al.,
BSGatlas-TSS-74,basu168,75749,+,A,22,Nicolas et al.,
BSGatlas-TSS-75,basu168,76749,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-76,basu168,76954,+,A,0,DBTBS,"7608085,17962296"
BSGatlas-TSS-77,basu168,78942,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-78,basu168,79027,+,A,22,Nicolas et al.,
BSGatlas-TSS-79,basu168,81448,+,E,22,Nicolas et al.,
BSGatlas-TSS-80,basu168,81731,+,A,0,DBTBS,"11445163,17962296"
BSGatlas-TSS-81,basu168,82768,+,I,22,Nicolas et al.,
BSGatlas-TSS-82,basu168,82831,+,A,0,DBTBS,"9084182,17962296"
BSGatlas-TSS-83,basu168,83692,+,A,22,Nicolas et al.,
BSGatlas-TSS-84,basu168,84066,+,A,22,Nicolas et al.,
BSGatlas-TSS-85,basu168,89566,-,E,22,Nicolas et al.,
BSGatlas-TSS-86,basu168,90318,+,A,22,Nicolas et al.,
BSGatlas-TSS-87,basu168,101291,+,A,22,Nicolas et al.,
BSGatlas-TSS-88,basu168,101360,+,B,0,DBTBS,"8793870,17962296"
BSGatlas-TSS-89,basu168,101409,+,A,0,DBTBS,"8793870,17962296"
BSGatlas-TSS-90,basu168,101566,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-91,basu168,106576,+,W,22,Nicolas et al.,
BSGatlas-TSS-92,basu168,108598,+,B,0,DBTBS,"10482513,17962296"
BSGatlas-TSS-93,basu168,111003,+,A,0,DBTBS,"7510287,17962296"
BSGatlas-TSS-94,basu168,111999,+,K,22,Nicolas et al.,
BSGatlas-TSS-95,basu168,116575,+,A,0,DBTBS,"1898930,17962296"
BSGatlas-TSS-96,basu168,117978,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-97,basu168,118452,+,A,22,Nicolas et al.,
BSGatlas-TSS-98,basu168,119871,-,Unknown,22,Nicolas et al.,
BSGatlas-TSS-99,basu168,121706,+,A,0,DBTBS,"7657605,17962296"
BSGatlas-TSS-100,basu168,123507,-,K,22,Nicolas et al.,
BSGatlas-TSS-101,basu168,124380,-,Unknown,22,Nicolas et al.,
